DATE,DJIA
2021-11-26,34899.34
2021-11-29,35135.94
2021-11-30,34483.72
2021-12-01,34022.04
2021-12-02,34639.79
2021-12-03,34580.08
2021-12-06,35227.03
2021-12-07,35719.43
2021-12-08,35754.75
2021-12-09,35754.69
2021-12-10,35970.99
2021-12-13,35650.95
2021-12-14,35544.18
2021-12-15,35927.43
2021-12-16,35897.64
2021-12-17,35365.44
2021-12-20,34932.16
2021-12-21,35492.7
2021-12-22,35753.89
2021-12-23,35950.56
2021-12-27,36302.38
2021-12-28,36398.21
2021-12-29,36488.63
2021-12-30,36398.08
2021-12-31,36338.3
2022-01-03,36585.06
2022-01-04,36799.65
2022-01-05,36407.11
2022-01-06,36236.47
2022-01-07,36231.66
2022-01-10,36068.87
2022-01-11,36252.02
2022-01-12,36290.32
2022-01-13,36113.62
2022-01-14,35911.81
2022-01-18,35368.47
2022-01-19,35028.65
2022-01-20,34715.39
2022-01-21,34265.37
2022-01-24,34364.5
2022-01-25,34297.73
2022-01-26,34168.09
2022-01-27,34160.78
2022-01-28,34725.47
2022-01-31,35131.86
2022-02-01,35405.24
2022-02-02,35629.33
2022-02-03,35111.16
2022-02-04,35089.74
2022-02-07,35091.13
2022-02-08,35462.78
2022-02-09,35768.06
2022-02-10,35241.59
2022-02-11,34738.06
2022-02-14,34566.17
2022-02-15,34988.84
2022-02-16,34934.27
2022-02-17,34312.03
2022-02-18,34079.18
2022-02-22,33596.61
2022-02-23,33131.76
2022-02-24,33223.83
2022-02-25,34058.75
2022-02-28,33892.6
2022-03-01,33294.95
2022-03-02,33891.35
2022-03-03,33794.66
2022-03-04,33614.8
2022-03-07,32817.38
2022-03-08,32632.64
2022-03-09,33286.25
2022-03-10,33174.07
2022-03-11,32944.19
2022-03-14,32945.24
2022-03-15,33544.34
2022-03-16,34063.1
2022-03-17,34480.76
2022-03-18,34754.93
2022-03-21,34552.99
2022-03-22,34807.46
2022-03-23,34358.5
2022-03-24,34707.94
2022-03-25,34861.24
2022-03-28,34955.89
2022-03-29,35294.19
2022-03-30,35228.81
2022-03-31,34678.35
2022-04-01,34818.27
2022-04-04,34921.88
2022-04-05,34641.18
2022-04-06,34496.51
2022-04-07,34583.57
2022-04-08,34721.12
2022-04-11,34308.08
2022-04-12,34220.36
2022-04-13,34564.59
2022-04-14,34451.23
2022-04-18,34411.69
2022-04-19,34911.2
2022-04-20,35160.79
2022-04-21,34792.76
2022-04-22,33811.4
2022-04-25,34049.46
2022-04-26,33240.18
2022-04-27,33301.93
2022-04-28,33916.39
2022-04-29,32977.21
2022-05-02,33061.5
2022-05-03,33128.79
2022-05-04,34061.06
2022-05-05,32997.97
2022-05-06,32899.37
2022-05-09,32245.7
2022-05-10,32160.74
2022-05-11,31834.11
2022-05-12,31730.3
2022-05-13,32196.66
2022-05-16,32223.42
2022-05-17,32654.59
2022-05-18,31490.07
2022-05-19,31253.13
2022-05-20,31261.9
2022-05-23,31880.24
2022-05-24,31928.62
2022-05-25,32120.28
2022-05-26,32637.19
2022-05-27,33212.96
2022-05-31,32990.12
2022-06-01,32813.23
2022-06-02,33248.28
2022-06-03,32899.7
2022-06-06,32915.78
2022-06-07,33180.14
2022-06-08,32910.9
2022-06-09,32272.79
2022-06-10,31392.79
2022-06-13,30516.74
2022-06-14,30364.83
2022-06-15,30668.53
2022-06-16,29927.07
2022-06-17,29888.78
2022-06-21,30530.25
2022-06-22,30483.13
2022-06-23,30677.36
2022-06-24,31500.68
2022-06-27,31438.26
2022-06-28,30946.99
2022-06-29,31029.31
2022-06-30,30775.43
2022-07-01,31097.26
2022-07-05,30967.82
2022-07-06,31037.68
2022-07-07,31384.55
2022-07-08,31338.15
2022-07-11,31173.84
2022-07-12,30981.33
2022-07-13,30772.79
2022-07-14,30630.17
2022-07-15,31288.26
2022-07-18,31072.61
2022-07-19,31827.05
2022-07-20,31874.84
2022-07-21,32036.9
2022-07-22,31899.29
2022-07-25,31990.04
2022-07-26,31761.54
2022-07-27,32197.59
2022-07-28,32529.63
2022-07-29,32845.13
2022-08-01,32798.4
2022-08-02,32396.17
2022-08-03,32812.5
2022-08-04,32726.82
2022-08-05,32803.47
2022-08-08,32832.54
2022-08-09,32774.41
2022-08-10,33309.51
2022-08-11,33336.67
2022-08-12,33761.05
2022-08-15,33912.44
2022-08-16,34152.01
2022-08-17,33980.32
2022-08-18,33999.04
2022-08-19,33706.74
2022-08-22,33063.61
2022-08-23,32909.59
2022-08-24,32969.23
2022-08-25,33291.78
2022-08-26,32283.4
2022-08-29,32098.99
2022-08-30,31790.87
2022-08-31,31510.43
2022-09-01,31656.42
2022-09-02,31318.44
2022-09-06,31145.3
2022-09-07,31581.28
2022-09-08,31774.52
2022-09-09,32151.71
2022-09-12,32381.34
2022-09-13,31104.97
2022-09-14,31135.09
2022-09-15,30961.82
2022-09-16,30822.42
2022-09-19,31019.68
2022-09-20,30706.23
2022-09-21,30183.78
2022-09-22,30076.68
2022-09-23,29590.41
2022-09-26,29260.81
2022-09-27,29134.99
2022-09-28,29683.74
2022-09-29,29225.61
2022-09-30,28725.51
2022-10-03,29490.89
2022-10-04,30316.32
2022-10-05,30273.87
2022-10-06,29926.94
2022-10-07,29296.79
2022-10-10,29202.88
2022-10-11,29239.19
2022-10-12,29210.85
2022-10-13,30038.72
2022-10-14,29634.83
2022-10-17,30185.82
2022-10-18,30523.8
2022-10-19,30423.81
2022-10-20,30333.59
2022-10-21,31082.56
2022-10-24,31499.62
2022-10-25,31836.74
2022-10-26,31839.11
2022-10-27,32033.28
2022-10-28,32861.8
2022-10-31,32732.95
2022-11-01,32653.2
2022-11-02,32147.76
2022-11-03,32001.25
2022-11-04,32403.22
2022-11-07,32827.0
2022-11-08,33160.83
2022-11-09,32513.94
2022-11-10,33715.37
2022-11-11,33747.86
2022-11-14,33536.7
2022-11-15,33592.92
2022-11-16,33553.83
2022-11-17,33546.32
2022-11-18,33745.69
2022-11-21,33700.28
2022-11-22,34098.1
2022-11-23,34194.06
2022-11-25,34347.03
2022-11-28,33849.46
2022-11-29,33852.53
2022-11-30,34589.77
2022-12-01,34395.01
2022-12-02,34429.88
2022-12-05,33947.1
2022-12-06,33596.34
2022-12-07,33597.92
2022-12-08,33781.48
2022-12-09,33476.46
2022-12-12,34005.04
2022-12-13,34108.64
2022-12-14,33966.35
2022-12-15,33202.22
2022-12-16,32920.46
2022-12-19,32757.54
2022-12-20,32849.74
2022-12-21,33376.48
2022-12-22,33027.49
2022-12-23,33203.93
2022-12-27,33241.56
2022-12-28,32875.71
2022-12-29,33220.8
2022-12-30,33147.25
2023-01-03,33136.37
2023-01-04,33269.77
2023-01-05,32930.08
2023-01-06,33630.61
2023-01-09,33517.65
2023-01-10,33704.1
2023-01-11,33973.01
2023-01-12,34189.97
2023-01-13,34302.61
2023-01-17,33910.85
2023-01-18,33296.96
2023-01-19,33044.56
2023-01-20,33375.49
2023-01-23,33629.56
2023-01-24,33733.96
2023-01-25,33743.84
2023-01-26,33949.41
2023-01-27,33978.08
2023-01-30,33717.09
2023-01-31,34086.04
2023-02-01,34092.96
2023-02-02,34053.94
2023-02-03,33926.01
2023-02-06,33891.02
2023-02-07,34156.69
2023-02-08,33949.01
2023-02-09,33699.88
2023-02-10,33869.27
2023-02-13,34245.93
2023-02-14,34089.27
2023-02-15,34128.05
2023-02-16,33696.85
2023-02-17,33826.69
2023-02-21,33129.59
2023-02-22,33045.09
2023-02-23,33153.91
2023-02-24,32816.92
2023-02-27,32889.09
2023-02-28,32656.7
2023-03-01,32661.84
2023-03-02,33003.57
2023-03-03,33390.97
2023-03-06,33431.44
2023-03-07,32856.46
2023-03-08,32798.4
2023-03-09,32254.86
2023-03-10,31909.64
2023-03-13,31819.14
2023-03-14,32155.4
2023-03-15,31874.57
2023-03-16,32246.55
2023-03-17,31861.98
2023-03-20,32244.58
2023-03-21,32560.6
2023-03-22,32030.11
2023-03-23,32105.25
2023-03-24,32237.53
2023-03-27,32432.08
2023-03-28,32394.25
2023-03-29,32717.6
2023-03-30,32859.03
2023-03-31,33274.15
2023-04-03,33601.15
2023-04-04,33402.38
2023-04-05,33482.72
2023-04-06,33485.29
2023-04-10,33586.52
2023-04-11,33684.79
2023-04-12,33646.5
2023-04-13,34029.69
2023-04-14,33886.47
2023-04-17,33987.18
2023-04-18,33976.63
2023-04-19,33897.01
2023-04-20,33786.62
2023-04-21,33808.96
2023-04-24,33875.4
2023-04-25,33530.83
2023-04-26,33301.87
2023-04-27,33826.16
2023-04-28,34098.16
2023-05-01,34051.7
2023-05-02,33684.53
2023-05-03,33414.24
2023-05-04,33127.74
2023-05-05,33674.38
2023-05-08,33618.69
2023-05-09,33561.81
2023-05-10,33531.33
2023-05-11,33309.51
2023-05-12,33300.62
2023-05-15,33348.6
2023-05-16,33012.14
2023-05-17,33420.77
2023-05-18,33535.91
2023-05-19,33426.63
2023-05-22,33286.58
2023-05-23,33055.51
2023-05-24,32799.92
2023-05-25,32764.65
2023-05-26,33093.34
2023-05-30,33042.78
2023-05-31,32908.27
2023-06-01,33061.57
2023-06-02,33762.76
2023-06-05,33562.86
2023-06-06,33573.28
2023-06-07,33665.02
2023-06-08,33833.61
2023-06-09,33876.78
2023-06-12,34066.33
2023-06-13,34212.12
2023-06-14,33979.33
2023-06-15,34408.06
2023-06-16,34299.12
2023-06-20,34053.87
2023-06-21,33951.52
2023-06-22,33946.71
2023-06-23,33727.43
2023-06-26,33714.71
2023-06-27,33926.74
2023-06-28,33852.66
2023-06-29,34122.42
2023-06-30,34407.6
2023-07-03,34418.47
2023-07-05,34288.64
2023-07-06,33922.26
2023-07-07,33734.88
2023-07-10,33944.4
2023-07-11,34261.42
2023-07-12,34347.43
2023-07-13,34395.14
2023-07-14,34509.03
2023-07-17,34585.35
2023-07-18,34951.93
2023-07-19,35061.21
2023-07-20,35225.18
2023-07-21,35227.69
2023-07-24,35411.24
2023-07-25,35438.07
2023-07-26,35520.12
2023-07-27,35282.72
2023-07-28,35459.29
2023-07-31,35559.53
2023-08-01,35630.68
2023-08-02,35282.52
2023-08-03,35215.89
2023-08-04,35065.62
2023-08-07,35473.13
2023-08-08,35314.49
2023-08-09,35123.36
2023-08-10,35176.15
2023-08-11,35281.4
2023-08-14,35307.63
2023-08-15,34946.39
2023-08-16,34765.74
2023-08-17,34474.83
2023-08-18,34500.66
2023-08-21,34463.69
2023-08-22,34288.83
2023-08-23,34472.98
2023-08-24,34099.42
2023-08-25,34346.9
2023-08-28,34559.98
2023-08-29,34852.67
2023-08-30,34890.24
2023-08-31,34721.91
2023-09-01,34837.71
2023-09-05,34641.97
2023-09-06,34443.19
2023-09-07,34500.73
2023-09-08,34576.59
2023-09-11,34663.72
2023-09-12,34645.99
2023-09-13,34575.53
2023-09-14,34907.11
2023-09-15,34618.24
2023-09-18,34624.3
2023-09-19,34517.73
2023-09-20,34440.88
2023-09-21,34070.42
2023-09-22,33963.84
2023-09-25,34006.88
2023-09-26,33618.88
2023-09-27,33550.27
2023-09-28,33666.34
2023-09-29,33507.5
2023-10-02,33433.35
2023-10-03,33002.38
2023-10-04,33129.55
2023-10-05,33119.57
2023-10-06,33407.58
2023-10-09,33604.65
2023-10-10,33739.3
2023-10-11,33804.87
2023-10-12,33631.14
2023-10-13,33670.29
2023-10-16,33984.54
2023-10-17,33997.65
2023-10-18,33665.08
2023-10-19,33414.17
2023-10-20,33127.28
2023-10-23,32936.41
2023-10-24,33141.38
2023-10-25,33035.93
2023-10-26,32784.3
2023-10-27,32417.59
2023-10-30,32928.96
2023-10-31,33052.87
2023-11-01,33274.58
2023-11-02,33839.08
2023-11-03,34061.32
2023-11-06,34095.86
2023-11-07,34152.6
2023-11-08,34112.27
2023-11-09,33891.94
2023-11-10,34283.1
2023-11-13,34337.87
2023-11-14,34827.7
2023-11-15,34991.21
2023-11-16,34945.47
2023-11-17,34947.28
2023-11-20,35151.04
2023-11-21,35088.29
2023-11-22,35273.03
2023-11-24,35390.15
2023-11-27,35333.47
2023-11-28,35416.98
2023-11-29,35430.42
2023-11-30,35950.89
2023-12-01,36245.5
2023-12-04,36204.44
2023-12-05,36124.56
2023-12-06,36054.43
2023-12-07,36117.38
2023-12-08,36247.87
2023-12-11,36404.93
2023-12-12,36577.94
2023-12-13,37090.24
2023-12-14,37248.35
2023-12-15,37305.16
2023-12-18,37306.02
2023-12-19,37557.92
2023-12-20,37082.0
2023-12-21,37404.35
2023-12-22,37385.97
2023-12-26,37545.33
2023-12-27,37656.52
2023-12-28,37710.1
2023-12-29,37689.54
2024-01-02,37715.04
2024-01-03,37430.19
2024-01-04,37440.34
2024-01-05,37466.11
2024-01-08,37683.01
2024-01-09,37525.16
2024-01-10,37695.73
2024-01-11,37711.02
2024-01-12,37592.98
2024-01-16,37361.12
2024-01-17,37266.67
2024-01-18,37468.61
2024-01-19,37863.8
2024-01-22,38001.81
2024-01-23,37905.45
2024-01-24,37806.39
2024-01-25,38049.13
2024-01-26,38109.43
2024-01-29,38333.45
2024-01-30,38467.31
2024-01-31,38150.3
2024-02-01,38519.84
2024-02-02,38654.42
2024-02-05,38380.12
2024-02-06,38521.36
2024-02-07,38677.36
2024-02-08,38726.33
2024-02-09,38671.69
2024-02-12,38797.38
2024-02-13,38272.75
2024-02-14,38424.27
2024-02-15,38773.12
2024-02-16,38627.99
2024-02-20,38563.8
2024-02-21,38612.24
2024-02-22,39069.11
2024-02-23,39131.53
2024-02-26,39069.23
2024-02-27,38972.41
2024-02-28,38949.02
2024-02-29,38996.39
2024-03-01,39087.38
2024-03-04,38989.83
2024-03-05,38585.19
2024-03-06,38661.05
2024-03-07,38791.35
2024-03-08,38722.69
2024-03-11,38769.66
2024-03-12,39005.49
2024-03-13,39043.32
2024-03-14,38905.66
2024-03-15,38714.77
2024-03-18,38790.43
2024-03-19,39110.76
2024-03-20,39512.13
2024-03-21,39781.37
2024-03-22,39475.9
2024-03-25,39313.64
2024-03-26,39282.33
2024-03-27,39760.08
2024-03-28,39807.37
2024-04-01,39566.85
2024-04-02,39170.24
2024-04-03,39127.14
2024-04-04,38596.98
2024-04-05,38904.04
2024-04-08,38892.8
2024-04-09,38883.67
2024-04-10,38461.51
2024-04-11,38459.08
2024-04-12,37983.24
2024-04-15,37735.11
2024-04-16,37798.97
2024-04-17,37753.31
2024-04-18,37775.38
2024-04-19,37986.4
2024-04-22,38239.98
2024-04-23,38503.69
2024-04-24,38460.92
2024-04-25,38085.8
2024-04-26,38239.66
2024-04-29,38386.09
2024-04-30,37815.92
2024-05-01,37903.29
2024-05-02,38225.66
2024-05-03,38675.68
2024-05-06,38852.27
2024-05-07,38884.26
2024-05-08,39056.39
2024-05-09,39387.76
2024-05-10,39512.84
2024-05-13,39431.51
2024-05-14,39558.11
2024-05-15,39908.0
2024-05-16,39869.38
2024-05-17,40003.59
2024-05-20,39806.77
2024-05-21,39872.99
2024-05-22,39671.04
2024-05-23,39065.26
2024-05-24,39069.59
2024-05-28,38852.86
2024-05-29,38441.54
2024-05-30,38111.48
2024-05-31,38686.32
2024-06-03,38571.03
2024-06-04,38711.29
2024-06-05,38807.33
2024-06-06,38886.17
2024-06-07,38798.99
2024-06-10,38868.04
2024-06-11,38747.42
2024-06-12,38712.21
2024-06-13,38647.1
2024-06-14,38589.16
2024-06-17,38778.1
2024-06-18,38834.86
2024-06-20,39134.76
2024-06-21,39150.33
2024-06-24,39411.21
2024-06-25,39112.16
2024-06-26,39127.8
2024-06-27,39164.06
2024-06-28,39118.86
2024-07-01,39169.52
2024-07-02,39331.85
2024-07-03,39308.0
2024-07-05,39375.87
2024-07-08,39344.79
2024-07-09,39291.97
2024-07-10,39721.36
2024-07-11,39753.75
2024-07-12,40000.9
2024-07-15,40211.72
2024-07-16,40954.48
2024-07-17,41198.08
2024-07-18,40665.02
2024-07-19,40287.53
2024-07-22,40415.44
2024-07-23,40358.09
2024-07-24,39853.87
2024-07-25,39935.07
2024-07-26,40589.34
2024-07-29,40539.93
2024-07-30,40743.33
2024-07-31,40842.79
2024-08-01,40347.97
2024-08-02,39737.26
2024-08-05,38703.27
2024-08-06,38997.66
2024-08-07,38763.45
2024-08-08,39446.49
2024-08-09,39497.54
2024-08-12,39357.01
2024-08-13,39765.64
2024-08-14,40008.39
2024-08-15,40563.06
2024-08-16,40659.76
2024-08-19,40896.53
2024-08-20,40834.97
2024-08-21,40890.49
2024-08-22,40712.78
2024-08-23,41175.08
2024-08-26,41240.52
2024-08-27,41250.5
2024-08-28,41091.42
2024-08-29,41335.05
2024-08-30,41563.08
2024-09-03,40936.93
2024-09-04,40974.97
2024-09-05,40755.75
2024-09-06,40345.41
2024-09-09,40829.59
2024-09-10,40736.96
2024-09-11,40861.71
2024-09-12,41096.77
2024-09-13,41393.78
2024-09-16,41622.08
2024-09-17,41606.18
2024-09-18,41503.1
2024-09-19,42025.19
2024-09-20,42063.36
2024-09-23,42124.65
2024-09-24,42208.22
2024-09-25,41914.75
2024-09-26,42175.11
2024-09-27,42313.0
2024-09-30,42330.15
2024-10-01,42156.97
2024-10-02,42196.52
2024-10-03,42011.59
2024-10-04,42352.75
2024-10-07,41954.24
2024-10-08,42080.37
2024-10-09,42512.0
2024-10-10,42454.12
2024-10-11,42863.86
2024-10-14,43065.22
2024-10-15,42740.42
2024-10-16,43077.7
2024-10-17,43239.05
2024-10-18,43275.91
2024-10-21,42931.6
2024-10-22,42924.89
2024-10-23,42514.95
2024-10-24,42374.36
2024-10-25,42114.4
2024-10-28,42387.57
2024-10-29,42233.05
2024-10-30,42141.54
2024-10-31,41763.46
2024-11-01,42052.19
2024-11-04,41794.6
2024-11-05,42221.88
2024-11-06,43729.93
2024-11-07,43729.34
2024-11-08,43988.99
2024-11-11,44293.13
2024-11-12,43910.98
2024-11-13,43958.19
2024-11-14,43750.86
2024-11-15,43444.99
2024-11-18,43389.6
2024-11-19,43268.94
2024-11-20,43408.47
2024-11-21,43870.35
2024-11-22,44296.51
2024-11-25,44736.57
2024-11-26,44860.31
2024-11-27,44722.06
2024-11-29,44910.65
2024-12-02,44782.0
2024-12-03,44705.53
2024-12-04,45014.04
2024-12-05,44765.71
2024-12-06,44642.52
2024-12-09,44401.93
2024-12-10,44247.83
2024-12-11,44148.56
2024-12-12,43914.12
2024-12-13,43828.06
2024-12-16,43717.48
2024-12-17,43449.9
2024-12-18,42326.87
2024-12-19,42342.24
2024-12-20,42840.26
2024-12-23,42906.95
